|TrainingName|TotalCost
162|language training cll:7 days french (10.5 hours)13 days dutch (19.5 hours)total 30 hours |1200
163|new features in sas 9|1400
164|using sas etl studio to integrate your data|2175
165|sun certified programmer for java 2 platform 1.4 (cx-310-035)|294,39999999999998
166|impossible datawherehouse situations - by sid adelman|1995
167|microstrategy euroworld 2005|780
168|half a day off for studying|125
169|j.l. hainaut, bases de données et modèles de calculdunod, collection sciences sup, isbn 2100491466|34,649999999999999
170|oracle database 10g: pl/sql fundamentals |1241
171|oracle database 10g: sql fundamentals self-study cd course |135,5
172|homestudy as preparation on my certification exam of sas-base.|500
173|sas base programming exam|247
174|hp software universe|2900
175|cognos 8 business intelligence tour|250
176|emotional intelligence at work|4950
177|cognos decisionstream administration|3000
178|email marketing workshop|125
179|business objects user day|250
180|oracle workflow coaching session|125
181|immersion en anglais pour adultes|2200
182|poolse werknemers tewerkstellen aan 5 à 6 euro per uur: mythe of realiteit?|125
183|business intelligence in perspective|800
184|new features in sas v9|1025
185|applied data mining& data mining techniques|88,739999999999995
186|oracle: sql certifcation|196
187|self study|250
188|thinkanalytics|250
189|self-study: preparation for sql certification|500
190|dutch training at berlitz|1838
191|bo self training|500
192|businessobjects enterprise xi administering users & contents|1626
193|businessobjects enterprise xi administering servers|1626
194|the data warehouse toolkit: the complete guide to dimensional modeling (second edition) (isbn: 0471200247 )|48,020000000000003
195|the little sas book: a primer, third edition (paperback)|43,270000000000003
196|data mining: |895
197|cll english course immersion|2200
198|sun certified web component developer study guide: exam 310-081|8,3499999999999996
199|sas base certification|247
200|firstlogic iq 8 platform|750
201|sas certification prep guide: base programmingisbn: 1-59047-335-3|99,200000000000003
202|sas certification: base programming practice examisbn: 1-59047-379-5|45
203|preparation for sas base certification|250
204|sapience user day|500
205|sugi 2006|1522
206|the data warehouse life cycle toolkit: tools and techniques for designing, developing, and deploying data marts and data warehouses|56,630000000000003
207|decisionstream (day 1)|250
208|decisionstream (day 2)|250
209|sap bw / bw modeling (bw330)|1605
210|cll language cources|2400
211|decisionstream day 1|250
212|decisionstream day 2|250
213|french exam - 1st semester|250
214|businessobjects enterprise xi: administering servers & users and content|1750
215|migrating from businessobjects 5.x, 6.x to businessobjects enterprise xi release 2|1500
216|sas certification: advanced programming|150
217|dutch group course|378
218|hyperion essbase olap server: les fondamentaux|2250
219|sugi 2006|1463
220|data warehouse lifecycle in depth|3895
221|certified business intelligence professional textbook |100
222|sas base programming exam|122
223|get more business intelligence out of your dwh|665
224|kimball dwh life cycle course|2605
225|professional sql server 2005 integration services by brian knight, mark chaffin, larry barnes |49,149999999999999
226|change & your business outcome of it: testdirector for quality center |125
227|workshop marketing & crm analytics|175
228|workshop marketing & crm analytics|175
229|insight from kimball university: data warehouse lifecycle in depth|3895
230|businessobjects 6.5 advanced reporting|700
231|assimil : le nouveau néerlandais sans peine (1 livre + coffret de 4 cd) |59,810000000000002
232|it works: ontwerpen van de nieuwe generatie dwh|250
233|cognos 8 bi: reporting authoring part 1|1500
234|applying data mining techniques using sas enterprise miner 5|2400
235|mcitp1 implementing and maintaining a microsoft sql server 2005 database|3000
236|usq5is microsoft sql server 2005 integration services|1095
237|using sas data integration studio |1575
238|nederlands (3 mois : soir)|540
239|dimensionaal modelleren|2510
240|rdbms concepten|600
241|jcl|1250
242|sas programming i|2150
243|using sas data integration studio|2400
244|immersion|2200
245|sql server 2005|2100
246|ms sqlserver 2005|1975
247|handson bi session for solidpartners|125
248|data quality seminar|125
249|sql server 2005 |2035
250|handson bi session for solidpartners|125
251|spss user conference|2445
252|sql server 2005 training|2035
253|ms bi solutions presales training|250
254|microsoft sql server 2005|2035
255|ms sql server 2005|2035
256|sql server 2005|250
257|data quality|125
258|javaone|3595
259|programmeren in cobol - deel 1|1875
260|tdwi european conference 2006|2145
261|complete java 2 certification study guide, fifth edition (phil heller) (isbn 0782144195) (sybex usa)|41,979999999999997
262|ms sql 2005|1250
263|sas base certification|370
264|programmeren in cobol - deel 2|1875
265|prepare java web component certif|125
266|bo ix - report creation|750
267|bo ix - universe design|1000
268|bo xi report creation|750
269|bo xi universe designer|1000
270|rdbms concepten|600
271|bo xi universe designer|1000
272|bo xi universe designer|1000
273|bo xi report creation|750
274|business object xi training|1000
275|bo xi universe designer|1000
276|business object xi training|1500
277|business object xi universe designer|1000
278|cognos 8 bi - metadata modeling part i|2250
