Technology,Weight
telnet,-0.12547892720306514
quality,0.004789272030651341
netezza,0.007692307692307694
defining,0.03735632183908046
bpm,-0.011494252873563218
peoplesoft,-0.01053639846743295
assembler,-0.044061302681992334
xsl,-0.06896551724137931
tagetik,0.04230769230769231
jsf,-0.018199233716475097
scrum,0.11206896551724138
sonarqube,0.13409961685823754
gradle,0.16283524904214558
powerpivot,0.07596153846153847
prototyping,0.1475095785440613
photo,-0.09386973180076627
z,0.022030651340996167
sharepoint,0.0038314176245210726
ab,0.017241379310344827
credit,-0.008620689655172414
centura,0.07183908045977011
san,0.008620689655172414
pig,0.1848659003831417
redgate,0.01065891472868217
notepad,-0.1206896551724138
impala,0.0019157088122605363
mathematica,-0.04597701149425287
spark,0.12835249042145594
engagor,-0.022030651340996167
com+,0.11781609195402296
vsam,0.0
semarchy,0.0
visio,-0.04885057471264368
essbase,-0.04182879377431906
axapta,-0.06538461538461539
consul,0.0421455938697318
powerbuilder,0.040229885057471264
lean-six,0.0
visual basic,-0.15613026819923373
ejb,-0.08908045977011493
turbo,-0.00957854406130268
servlet,-0.07884615384615384
t-sql,-0.04038461538461539
google,-0.011494252873563218
tcp,-0.04885057471264368
olap,0.023946360153256702
hyperion,0.004789272030651341
bi,0.11206896551724138
business intelligence,-0.09903846153846152
bash,0.06513409961685822
mercury,-0.008620689655172414
ldap,-0.05172413793103448
internet,-0.10440613026819924
pipeline,0.05555555555555555
agile,0.1657088122605364
powerdesigner,0.10231660231660232
csv,0.05459770114942529
vba,0.04885057471264368
project,-0.07471264367816093
confluence,0.11877394636015325
netbeans,-0.08908045977011493
actuate,0.0
tableau,0.08620689655172414
drupal,-0.1206896551724138
data management,0.03160919540229885
deltek,0.0
qlik,0.2404214559386973
corba,0.04310344827586207
hootsuite,0.0009578544061302679
360,-0.10440613026819924
showcase,-0.1264367816091954
audit,0.05842911877394636
saltstack,0.05717054263565891
pascal,-0.016283524904214558
office,0.11302681992337164
abs,0.0038314176245210726
pmbok,0.006756756756756757
word,0.09099616858237547
fancybox,-0.08397683397683398
visual paradigm,0.0
ssis,0.02586206896551724
crm,0.012452107279693486
mainframe,-0.02884615384615385
finarch,-0.004347826086956522
data,0.0842911877394636
flash,-0.1532567049808429
cisco,-0.05747126436781608
nprinting,0.05480769230769232
businessobjects,-0.007692307692307694
nodejs,0.21455938697318008
matlab,0.07662835249042145
liquent,0.0
good,0.027777777777777776
abc,-0.03160919540229885
vb,-0.04118773946360153
mdx,-0.0038314176245210726
sybase,-0.007662835249042145
logixml,0.0
tinc,0.03160919540229885
unix,-0.11398467432950192
rapid,-0.05268199233716475
ingres,0.018199233716475097
owb,0.0
css,-0.024904214559386968
mega,-0.0038314176245210726
dimensional,0.02969348659003832
control-m,0.0
vi,-0.08812260536398467
iway,-0.12931034482758622
tomcat,0.013409961685823757
jquery,-0.14655172413793102
c#,0.035440613026819924
cgi,0.011494252873563218
fx,-0.09386973180076627
cost-it,0.0
cobol,-0.03735632183908046
osisoft,0.015625
excel,0.06609195402298851
sas,0.03065134099616858
stbox,0.0
pvcs,0.0
linq,-0.046934865900383135
tibco,0.018199233716475097
lotus,-0.05938697318007662
quilliup,0.0
kalido,0.0
infragistics,-0.08173076923076923
offshore,0.01053639846743295
iis,-0.06896551724137931
functional,0.07758620689655173
rpg,-0.1743295019157088
business analysis,0.02298850574712644
bsp,0.00957854406130268
webex,0.018199233716475097
uml,-0.027777777777777776
active,0.06800766283524905
navision,0.08524904214559388
intellij,0.10727969348659004
omb*plus,0.0
azure,0.10727969348659004
businnes,0.08812260536398467
architecture,0.05747126436781608
yarn,0.08045977011494253
qdesigner,0.0
dreamweaver,-0.22796934865900384
angularjs,0.06800766283524905
prince2,-0.045019157088122604
docker,0.32088122605363983
vmware,-0.12931034482758622
data mining,-0.006730769230769231
aginity,0.0
itil,-0.03352490421455938
bods,-0.01826923076923077
information,0.0009578544061302679
dwh,0.13122605363984674
none,0.05076628352490421
transfer,0.005747126436781609
data modelling,0.0
ssrs,0.062260536398467424
arduino,0.14655172413793102
ms visual,0.0
norton,-0.1829501915708812
mvs,0.025
various,-0.024904214559386968
opc,0.013409961685823757
octave,0.012452107279693486
smalltalk,-0.020348837209302327
microsoft,-0.09578544061302682
raspberry,0.08141762452107279
artifactory,0.10755813953488373
tso,-0.04885057471264368
campaign,0.0421455938697318
dns,-0.04310344827586207
central,0.05268199233716475
noad,0.09578544061302682
technology,0.0
hive,0.04885057471264368
ultraedit,-0.055769230769230765
spotfire,0.10057471264367816
ajax,-0.013409961685823757
team,-0.03160919540229885
congos,-0.003
hadoop,0.006704980842911879
teradata,0.07662835249042145
dhtml,-0.05480769230769232
novell,-0.05555555555555555
aws,0.2097701149425288
adobe,-0.15613026819923373
siebel,-0.020114942528735632
red,-0.09961685823754787
qlikview,-0.007662835249042145
informix,-0.09038461538461537
software,-0.11781609195402296
cpm,0.024904214559386968
tmap,0.05717054263565891
r,0.08237547892720308
process,0.014367816091954025
outlook,0.2193486590038314
ssas,-0.04711538461538462
openoffice,-0.1800766283524904
hibernate,-0.04118773946360153
technical,0.0038314176245210726
decisionstream,0.0
json,0.17145593869731798
change,0.016283524904214558
budgeting,0.04326923076923077
c,0.04310344827586207
vtom,0.08333333333333333
erwin,-0.01053639846743295
